Feature,Importance Score
price_usd_norm_prop_id,513.0
prop_id_affinity,386.0
prop_location_score2,312.0
prop_id_count,284.0
price_usd_norm_srch_id,247.0
prop_id_clicks,201.0
prop_location_score1,189.0
price_usd_norm_srch_booking_window,116.0
comp5_rate_percent_diff_norm_srch_destination_id,107.0
price_usd_norm_srch_destination_id,104.0
comp3_rate_percent_diff_norm_srch_destination_id,101.0
prop_log_historical_price_norm_srch_destination_id,84.0
prop_log_historical_price_norm_prop_id,82.0
prop_log_historical_price_norm_srch_id,80.0
price_usd_norm_prop_country_id,73.0
orig_destination_distance_norm_srch_id,69.0
price_usd_norm_month,66.0
comp8_rate_percent_diff_norm_srch_destination_id,62.0
comp2_rate_percent_diff_norm_srch_destination_id,59.0
prop_id,57.0
prop_review_score,56.0
orig_destination_distance_norm_prop_id,54.0
srch_destination_id,53.0
srch_children_count,50.0
prop_log_historical_price_norm_month,49.0
comp3_rate_percent_diff_norm_prop_id,48.0
orig_destination_distance_norm_srch_booking_window,47.0
comp5_rate_percent_diff_norm_srch_booking_window,46.0
orig_destination_distance_norm_srch_destination_id,46.0
srch_booking_window,45.0
orig_destination_distance_norm_prop_country_id,44.0
srch_length_of_stay,43.0
prop_log_historical_price_norm_prop_country_id,43.0
prop_starrating,41.0
comp5_rate_percent_diff_norm_prop_id,41.0
comp5_rate_percent_diff_norm_srch_id,40.0
prop_log_historical_price,36.0
price_usd,36.0
prop_log_historical_price_norm_srch_booking_window,35.0
comp3_rate_percent_diff_norm_srch_booking_window,33.0
comp2_rate_percent_diff_norm_prop_id,32.0
comp8_rate_percent_diff_norm_prop_id,32.0
orig_destination_distance_norm_month,32.0
comp7_rate_percent_diff_norm_srch_destination_id,32.0
prop_country_id,31.0
comp3_rate_percent_diff_norm_srch_id,31.0
comp4_rate_percent_diff_norm_srch_booking_window,31.0
orig_destination_distance,30.0
comp2_rate_percent_diff_norm_srch_id,30.0
comp1_rate_percent_diff_norm_srch_booking_window,30.0
promotion_flag,29.0
comp6_rate_percent_diff_norm_srch_booking_window,29.0
comp7_rate_percent_diff_norm_srch_booking_window,29.0
comp8_rate_percent_diff_norm_srch_booking_window,29.0
adr_usd_diff,28.0
comp8_rate_percent_diff_norm_month,28.0
comp2_rate_percent_diff_norm_srch_booking_window,28.0
comp6_rate_percent_diff_norm_srch_destination_id,26.0
comp3_rate_percent_diff_norm_prop_country_id,26.0
comp5_rate_percent_diff_norm_month,25.0
comp8_rate_percent_diff_norm_srch_id,21.0
comp3_rate_percent_diff_norm_month,21.0
comp4_rate_percent_diff_norm_month,19.0
comp4_rate_percent_diff_norm_srch_destination_id,19.0
comp5_rate_percent_diff_norm_prop_country_id,19.0
comp7_rate_percent_diff_norm_prop_country_id,19.0
starrating_diff,17.0
comp6_rate_percent_diff_norm_month,17.0
comp6_rate_percent_diff_norm_prop_country_id,17.0
comp1_rate_percent_diff_norm_month,16.0
srch_adults_count,15.0
month,15.0
comp7_rate_percent_diff_norm_month,15.0
visitor_location_country_id,14.0
comp7_rate_percent_diff_norm_prop_id,14.0
comp2_rate_percent_diff_norm_prop_country_id,14.0
site_id,13.0
comp7_rate_percent_diff_norm_srch_id,12.0
comp4_rate_percent_diff_norm_srch_id,11.0
comp1_rate_percent_diff_norm_prop_id,11.0
comp1_rate_percent_diff_norm_prop_country_id,11.0
comp3_inv,10.0
comp5_inv,10.0
comp5_rate_percent_diff,10.0
comp8_rate_percent_diff_norm_prop_country_id,10.0
comp3_rate_percent_diff,9.0
comp8_rate_percent_diff,9.0
comp4_rate_percent_diff_norm_prop_id,9.0
comp2_rate_percent_diff_norm_month,9.0
comp1_rate_percent_diff_norm_srch_destination_id,8.0
comp4_rate_percent_diff_norm_prop_country_id,8.0
srch_room_count,7.0
srch_saturday_night_bool,7.0
comp8_inv,6.0
comp1_rate_percent_diff_norm_srch_id,6.0
comp6_rate_percent_diff_norm_srch_id,6.0
comp2_rate_percent_diff,5.0
prop_brand_bool,4.0
comp2_inv,4.0
comp6_rate_percent_diff_norm_prop_id,4.0
comp3_rate,3.0
comp7_rate_percent_diff,3.0
comp2_rate,2.0
comp5_rate,2.0
comp8_rate,2.0
comp1_inv,1.0
comp1_rate_percent_diff,1.0
comp4_rate_percent_diff,1.0
comp6_inv,1.0
